line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Shanghai"" title=""Shanghai"">Shanghai</a></th>",Shanghai,/wiki/Shanghai,31.22861,121.47472,China
"<th scope=""row""><a href=""/wiki/Karachi"" title=""Karachi"">Karachi</a></th>",Karachi,/wiki/Karachi,24.86,67.01, Pakistan
"<th scope=""row""><a href=""/wiki/Beijing"" title=""Beijing"">Beijing</a></th>",Beijing,/wiki/Beijing,39.917,116.383,NA
"<th scope=""row""><a href=""/wiki/Delhi"" title=""Delhi"">Delhi</a></th>",Delhi,/wiki/Delhi,28.61,77.23,NA
"<th scope=""row""><a href=""/wiki/Lagos"" title=""Lagos"">Lagos</a></th>",Lagos,/wiki/Lagos,6.455027,3.384082,Nigeria
"<th scope=""row""><a href=""/wiki/Dhaka"" title=""Dhaka"">Dhaka</a></th>",Dhaka,/wiki/Dhaka,23.7,90.367,Bangladesh
"<th scope=""row""><a href=""/wiki/Guangzhou"" title=""Guangzhou"">Guangzhou</a></th>",Guangzhou,/wiki/Guangzhou,23.133,113.267,NA
"<th scope=""row""><a href=""/wiki/Istanbul"" title=""Istanbul"">Istanbul</a></th>",Istanbul,/wiki/Istanbul,41.01361,28.955,Turkey
"<th scope=""row""><a href=""/wiki/Tokyo"" title=""Tokyo"">Tokyo</a></th>",Tokyo,/wiki/Tokyo,35.683,139.683,Japan
"<th scope=""row""><a href=""/wiki/Mumbai"" title=""Mumbai"">Mumbai</a></th>",Mumbai,/wiki/Mumbai,18.975,72.82583,India
"<th scope=""row""><a href=""/wiki/Moscow"" title=""Moscow"">Moscow</a></th>",Moscow,/wiki/Moscow,55.75,37.617,Russia
"<th scope=""row""><a href=""/wiki/S%C3%A3o_Paulo"" title=""São Paulo"">São Paulo</a></th>",São Paulo,/wiki/S%C3%A3o_Paulo,-23.55,-46.633,NA
"<th scope=""row""><a href=""/wiki/Shenzhen"" title=""Shenzhen"">Shenzhen</a></th>",Shenzhen,/wiki/Shenzhen,22.55,114.1,China
"<th scope=""row""><a href=""/wiki/Suzhou"" title=""Suzhou"">Suzhou</a></th>",Suzhou,/wiki/Suzhou,31.3,120.6,China
"<th scope=""row""><a href=""/wiki/Lahore"" title=""Lahore"">Lahore</a></th>",Lahore,/wiki/Lahore,31.54972,74.34361,Pakistan
"<th scope=""row""><a href=""/wiki/Cairo"" title=""Cairo"">Cairo</a></th>",Cairo,/wiki/Cairo,30.04444,31.23583,Egypt
"<th scope=""row""><a href=""/wiki/Kinshasa"" title=""Kinshasa"">Kinshasa</a></th>",Kinshasa,/wiki/Kinshasa,-4.325,15.32222,Democratic Republic of the Congo
"<th scope=""row""><a href=""/wiki/Jakarta"" title=""Jakarta"">Jakarta</a></th>",Jakarta,/wiki/Jakarta,-6.2,106.817,Indonesia
"<th scope=""row""><a href=""/wiki/Seoul"" title=""Seoul"">Seoul</a></th>",Seoul,/wiki/Seoul,37.567,126.967,South Korea[1]
"<th scope=""row""><a href=""/wiki/Mexico_City"" title=""Mexico City"">Mexico City</a></th>",Mexico City,/wiki/Mexico_City,19.433,-99.133,Mexico
"<th scope=""row""><a href=""/wiki/Lima"" title=""Lima"">Lima</a></th>",Lima,/wiki/Lima,-12.04333,-77.02833,NA
"<th scope=""row""><a href=""/wiki/London"" title=""London"">London</a></th>",London,/wiki/London,51.50722,-0.1275,NA
"<th scope=""row""><a href=""/wiki/Xi%27an"" title=""Xi'an"">Xi'an</a></th>",Xi'an,/wiki/Xi%27an,34.267,108.9,People's Republic of China
"<th scope=""row""><a href=""/wiki/New_York_City"" title=""New York City"">New York City</a></th>",New York City,/wiki/New_York_City,40.7127,-74.0059,NA
"<th scope=""row""><a href=""/wiki/Bengaluru"" class=""mw-redirect"" title=""Bengaluru"">Bengaluru</a></th>",Bengaluru,/wiki/Bengaluru,12.967,77.567,India
"<th scope=""row""><a href=""/wiki/Bangkok"" title=""Bangkok"">Bangkok</a></th>",Bangkok,/wiki/Bangkok,13.75,100.467,Thailand
"<th scope=""row""><a href=""/wiki/Nanjing"" title=""Nanjing"">Nanjing</a></th>",Nanjing,/wiki/Nanjing,32.05,118.767,People's Republic of China
"<th scope=""row""><a href=""/wiki/Dongguan"" title=""Dongguan"">Dongguan</a></th>",Dongguan,/wiki/Dongguan,23.033,113.717,China
"<th scope=""row""><a href=""/wiki/Chongqing"" title=""Chongqing"">Chongqing</a></th>",Chongqing,/wiki/Chongqing,29.55833,106.56667,China
"<th scope=""row""><a href=""/wiki/Tehran"" title=""Tehran"">Tehran</a></th>",Tehran,/wiki/Tehran,35.68917,51.38889,NA
"<th scope=""row""><a href=""/wiki/Quanzhou"" title=""Quanzhou"">Quanzhou</a></th>",Quanzhou,/wiki/Quanzhou,24.917,118.583,People's Republic of China
"<th scope=""row""><a href=""/wiki/Shenyang"" title=""Shenyang"">Shenyang</a></th>",Shenyang,/wiki/Shenyang,41.8,123.4,People's Republic of China
"<th scope=""row""><a href=""/wiki/Bogot%C3%A1"" title=""Bogotá"">Bogotá</a></th>",Bogotá,/wiki/Bogot%C3%A1,4.71111,-74.07222,Colombia
"<th scope=""row""><a href=""/wiki/Hyderabad"" title=""Hyderabad"">Hyderabad</a></th>",Hyderabad,/wiki/Hyderabad,17.37,78.48,India
